"Time","Package Joules Consumed"
2024-01-19 20:19:36,
2024-01-19 20:19:38,6.77
2024-01-19 20:19:40,6.82
2024-01-19 20:19:42,6.82
2024-01-19 20:19:44,7.04
2024-01-19 20:19:46,6.90
2024-01-19 20:19:48,7.32
2024-01-19 20:19:50,7.45
2024-01-19 20:19:52,7.33
2024-01-19 20:19:54,7.83
2024-01-19 20:19:56,7.85
2024-01-19 20:19:58,7.76
2024-01-19 20:20:00,7.88
2024-01-19 20:20:02,7.80
2024-01-19 20:20:04,6.66
2024-01-19 20:20:06,6.71
2024-01-19 20:20:08,6.48
2024-01-19 20:20:10,6.67
2024-01-19 20:20:12,6.85
2024-01-19 20:20:14,6.49
2024-01-19 20:20:16,6.98
2024-01-19 20:20:18,6.71
2024-01-19 20:20:20,6.85
2024-01-19 20:20:22,7.33
2024-01-19 20:20:24,7.10
2024-01-19 20:20:26,7.46
2024-01-19 20:20:28,7.66
2024-01-19 20:20:30,7.76
2024-01-19 20:20:32,8.00
2024-01-19 20:20:34,7.86
2024-01-19 20:20:36,7.74
2024-01-19 20:20:38,7.43
2024-01-19 20:20:40,6.58
2024-01-19 20:20:42,7.78
2024-01-19 20:20:44,7.96
2024-01-19 20:20:46,8.00
2024-01-19 20:20:48,7.98
2024-01-19 20:20:50,7.98
2024-01-19 20:20:52,8.21
2024-01-19 20:20:54,8.43
2024-01-19 20:20:56,8.35
2024-01-19 20:20:58,8.68
2024-01-19 20:21:00,9.00
2024-01-19 20:21:02,8.73
2024-01-19 20:21:04,9.24
2024-01-19 20:21:06,9.33
2024-01-19 20:21:08,9.17
2024-01-19 20:21:10,8.91
2024-01-19 20:21:12,9.46
2024-01-19 20:21:14,7.77
2024-01-19 20:21:16,7.61
2024-01-19 20:21:18,7.58
2024-01-19 20:21:20,7.82
2024-01-19 20:21:22,7.87
2024-01-19 20:21:24,7.87
2024-01-19 20:21:26,7.80
2024-01-19 20:21:28,8.28
2024-01-19 20:21:30,8.30
2024-01-19 20:21:32,8.33
2024-01-19 20:21:34,8.86
2024-01-19 20:21:36,9.01
2024-01-19 20:21:38,9.03
2024-01-19 20:21:40,9.08
2024-01-19 20:21:42,9.19
2024-01-19 20:21:44,9.20
2024-01-19 20:21:46,9.09
2024-01-19 20:21:48,6.98
2024-01-19 20:21:50,6.87
2024-01-19 20:21:52,6.50
2024-01-19 20:21:54,6.32
2024-01-19 20:21:56,6.65
2024-01-19 20:21:58,6.47
2024-01-19 20:22:00,6.71
2024-01-19 20:22:02,6.89
2024-01-19 20:22:04,6.97
2024-01-19 20:22:06,6.88
2024-01-19 20:22:08,7.23
2024-01-19 20:22:10,7.45
2024-01-19 20:22:12,7.60
2024-01-19 20:22:14,7.80
2024-01-19 20:22:16,7.66
2024-01-19 20:22:18,7.95
2024-01-19 20:22:20,7.68
2024-01-19 20:22:22,7.37
2024-01-19 20:22:24,6.70
2024-01-19 20:22:26,6.21
2024-01-19 20:22:28,6.00
2024-01-19 20:22:30,6.25
2024-01-19 20:22:32,6.31
2024-01-19 20:22:34,7.08
2024-01-19 20:22:36,6.67
2024-01-19 20:22:38,6.78
2024-01-19 20:22:40,6.96
2024-01-19 20:22:42,7.06
2024-01-19 20:22:44,7.33
2024-01-19 20:22:46,7.77
2024-01-19 20:22:48,7.93
2024-01-19 20:22:50,8.14
2024-01-19 20:22:52,13.0
2024-01-19 20:22:54,32.7
2024-01-19 20:22:56,32.1
2024-01-19 20:22:58,13.3
2024-01-19 20:23:00,35.3
2024-01-19 20:23:02,41.0
2024-01-19 20:23:04,21.3
2024-01-19 20:23:06,8.10
2024-01-19 20:23:08,8.68
2024-01-19 20:23:10,8.23
2024-01-19 20:23:12,8.29
2024-01-19 20:23:14,8.76
2024-01-19 20:23:16,8.69
2024-01-19 20:23:18,9.00
2024-01-19 20:23:20,9.50
2024-01-19 20:23:22,9.30
2024-01-19 20:23:24,9.39
2024-01-19 20:23:26,9.24
2024-01-19 20:23:28,9.24
2024-01-19 20:23:30,9.55
2024-01-19 20:23:32,8.33
2024-01-19 20:23:34,8.08
2024-01-19 20:23:36,8.20
2024-01-19 20:23:38,8.02
2024-01-19 20:23:40,8.26
2024-01-19 20:23:42,8.47
2024-01-19 20:23:44,8.09
2024-01-19 20:23:46,8.10
2024-01-19 20:23:48,8.31
2024-01-19 20:23:50,8.32
2024-01-19 20:23:52,8.57
2024-01-19 20:23:54,8.82
2024-01-19 20:23:56,8.90
2024-01-19 20:23:58,9.59
2024-01-19 20:24:00,9.24
2024-01-19 20:24:02,8.93
2024-01-19 20:24:04,9.58
2024-01-19 20:24:06,8.71
2024-01-19 20:24:08,13.2
2024-01-19 20:24:10,26.8
2024-01-19 20:24:12,31.3
2024-01-19 20:24:14,30.5
2024-01-19 20:24:16,39.1
2024-01-19 20:24:18,37.8
2024-01-19 20:24:20,7.00
2024-01-19 20:24:22,6.97
2024-01-19 20:24:24,7.02
2024-01-19 20:24:26,7.40
2024-01-19 20:24:28,7.73
2024-01-19 20:24:30,7.90
2024-01-19 20:24:32,
2024-01-19 20:24:34,
2024-01-19 20:24:36,
